Rank,Title,Year,Votes
1,The Hateful Eight,2015,6
2,Barry Lyndon,1975,4
3,Her,2013,4
4,Nosferatu,1922,4
5,The Public Enemy,1931,4
6,Scarface,1932,4
7,Seven Samurai,1954,4
8,Badlands,1973,3
9,Black Swan,2010,3
10,Carnival of Souls,1962,3
11,Come and See,1985,3
12,The Haunting,1963,3
13,High and Low,1963,3
14,Images,1972,3
15,The Innocents,1961,3
16,Ivan's Childhood,1962,3
17,The Last Detail,1973,3
18,The Last Picture Show,1971,3
19,L'avventura,1960,3
20,Metropolis,1927,3
21,The Passenger,1975,3
22,Rashomon,1950,3
23,Requiem for a Dream,2000,5
24,Solaris,1972,3
25,Stalker,1979,3
26,1900,1976,2
27,3 Women,1977,2
28,The Ascent,1977,2
29,Black Sabbath,1963,2
30,Bunny Lake Is Missing,1965,2
31,Cure,1997,2
32,Dark Passage,1947,2
33,The Exorcist III,1990,2
34,The Golem: How He Came Into the World,1920,2
35,Grand Illusion,1937,2
36,The Hired Hand,1971,2
37,The Human Condition I: No Greater Love,1959,2
38,Joint Security Area,2000,2
39,Klute,1971,2
40,Little Caesar,1931,2
41,Memories of Murder,2003,2
42,Midsommar,2019,4
43,Oldboy,2003,4
44,Only Angels Have Wings,1939,2
45,Parasite,2019,4
46,Perfect Blue,1997,2
47,Pulse,2001,2
48,Satantango,1994,2
49,Scarlet Street,1945,2
50,To Have and Have Not,1944,2
51,The Truth,1960,2
52,The Turin Horse,2011,2
53,Umberto D.,1952,2
54,Werckmeister Harmonies,2000,2
55,Woman in the Moon,1929,2
56,Yojimbo,1961,2
57,Affair in Trinidad,1952,1
58,Aniara,2019,3
59,A Bittersweet Life,2005,1
60,A Bloody Spear on Mount Fuji,1955,1
61,Closely Watched Trains,1966,1
62,Crime and Punishment,1935,1
63,Deep Cover,1992,1
64,Devil in a Blue Dress,1995,1
65,"Dr. Mabuse, the Gambler",1922,1
66,Dreams,1990,1
67,The Garment Jungle,1957,1
68,Gilda,1946,1
69,A Girl Walks Home Alone at Night,2014,3
70,High Life,2018,1
71,House of Bamboo,1955,1
72,The Human Condition II: Road to Eternity,1959,1
73,The Human Condition III: A Soldier's Prayer,1961,1
74,"Hush... Hush, Sweet Charlotte",1964,1
75,Kagemusha,1980,1
76,Kansas City,1996,1
77,Kuroneko,1968,1
78,Le Corbeau,1943,1
79,Light Sleeper,1992,1
80,Lone Wolf and Cub: Sword of Vengeance,1972,1
81,Murder by Contract,1958,1
82,Onibaba,1964,1
83,Panic,1947,1
84,Paprika,2006,1
85,Quai Des Orfèvres,1947,1
86,Ramrod,1947,1
87,The Reckless Moment,1949,1
88,Samurai I: Musashi Miyamoto,1954,1
89,Samurai II: Duel at Ichijoji Temple,1955,1
90,Samurai III: Duel at Ganryu Island,1956,1
91,The Snake Pit,1948,1
92,Spies,1928,1
93,The Sword of Doom,1966,1
94,Tampopo,1985,1
95,Three Outlaw Samurai,1964,1
96,The Uninvited,1944,1
97,Martyrs,2008,2
98,Mother!,2017,2
99,The White Ribbon,2009,4
100,The Addiction,1995,3
